xg,possession,shots_on_target,pass_accuracy,ppda,tackles_successful,interceptions,aerial_duels_won_pct,outcome
0.71,40.1,5.0,84.28927680798004,11.217391304347826,33.0,13.0,50.0,Draw
0.63,59.9,4.0,86.0,16.9,18.0,2.0,50.0,Draw
1.41,32.9,6.0,69.92481203007519,13.342857142857143,29.0,6.0,0.0,Loss
1.22,67.1,5.0,86.0036832412523,3.9574468085106385,41.0,6.0,0.0,Win
2.49,59.5,5.0,80.89171974522293,7.72093023255814,37.0,6.0,50.0,Loss
0.88,40.5,3.0,77.75175644028103,11.043478260869565,34.0,12.0,50.0,Win
0.27,36.3,1.0,71.78683385579937,12.051282051282051,30.0,9.0,50.0,Loss
2.63,63.7,7.0,84.07871198568873,6.735294117647059,22.0,12.0,50.0,Win
4.07,70.7,8.0,85.2731591448931,3.789473684210526,44.0,13.0,50.0,Draw
3.07,29.3,5.0,61.891117478510026,8.864197530864198,67.0,14.0,50.0,Draw
2.76,74.9,13.0,92.0,7.258064516129032,23.0,8.0,50.0,Win
0.11,25.1,0.0,78.94736842105263,20.05128205128205,28.0,11.0,50.0,Loss
1.59,62.9,3.0,84.51834862385321,8.0,41.0,9.0,50.0,Win
1.55,37.1,3.0,77.82101167315176,12.283333333333333,49.0,11.0,50.0,Loss
0.55,52.9,3.0,83.47245409015025,10.75,31.0,9.0,50.0,Draw
0.32,47.1,1.0,80.52434456928839,9.433962264150944,46.0,7.0,50.0,Draw
0.5,40.7,4.0,81.25,11.680851063829786,30.0,17.0,50.0,Loss
0.95,59.3,3.0,87.14285714285714,8.560975609756097,30.0,11.0,50.0,Win
2.23,54.8,9.0,87.65217391304347,12.9,22.0,8.0,50.0,Win
1.07,45.2,2.0,81.47368421052632,12.6,34.0,6.0,50.0,Loss
0.78,49.9,3.0,88.41354723707666,16.0,25.0,5.0,50.0,Win
0.73,50.1,2.0,85.2575488454707,19.84,17.0,8.0,50.0,Loss
0.18,57.1,0.0,80.89053803339517,6.880952380952381,35.0,7.0,50.0,Loss
1.0,42.9,7.0,71.35802469135803,6.920634920634921,59.0,4.0,50.0,Win
0.74,37.8,4.0,86.55660377358491,21.0,20.0,10.0,50.0,Draw
1.22,62.2,3.0,90.38737446197992,17.476190476190474,17.0,4.0,50.0,Draw
1.53,56.7,9.0,90.38461538461539,10.236842105263158,28.0,10.0,50.0,Win
0.14,43.3,1.0,81.72268907563026,13.116279069767442,34.0,9.0,50.0,Loss
1.86,66.6,8.0,88.39941262848751,7.764705882352941,22.0,12.0,50.0,Draw
1.33,33.4,7.0,77.41935483870968,14.0,32.0,11.0,50.0,Draw
1.48,69.2,7.0,90.76517150395779,7.361111111111111,29.0,7.0,50.0,Win
1.23,30.8,2.0,78.63501483679525,21.5,26.0,6.0,50.0,Loss
0.75,51.5,3.0,81.66351606805293,8.42,42.0,8.0,50.0,Loss
1.9,48.5,3.0,84.3687374749499,14.4,20.0,10.0,50.0,Win
1.75,60.1,5.0,84.52579034941763,11.884615384615385,23.0,3.0,50.0,Loss
0.71,39.9,4.0,77.44360902255639,15.875,18.0,14.0,50.0,Win
1.45,67.8,4.0,91.69590643274854,14.166666666666666,18.0,6.0,50.0,Win
0.35,32.2,2.0,83.74384236453201,26.133333333333333,17.0,13.0,50.0,Loss
0.84,57.7,4.0,77.41935483870968,6.7631578947368425,26.0,12.0,50.0,Draw
1.12,42.3,5.0,70.6043956043956,10.378378378378379,28.0,9.0,50.0,Draw
1.65,55.5,9.0,82.6086956521739,10.03225806451613,25.0,6.0,50.0,Win
1.25,44.5,4.0,80.36175710594316,8.48936170212766,40.0,7.0,50.0,Loss
1.84,72.4,10.0,91.97786998616874,7.103448275862069,24.0,5.0,50.0,Win
0.06,27.6,0.0,74.90909090909092,22.166666666666668,23.0,7.0,50.0,Loss
3.24,52.4,9.0,84.3298969072165,8.488372093023257,23.0,20.0,0.0,Win
1.98,47.6,4.0,82.95454545454545,10.763157894736842,25.0,13.0,0.0,Loss
2.04,47.4,5.0,90.82733812949641,17.8125,25.0,7.0,0.0,Draw
1.51,52.6,4.0,92.38249594813614,14.852941176470589,20.0,14.0,0.0,Draw
1.98,50.3,11.0,85.46511627906976,10.707317073170731,24.0,17.0,50.0,Win
1.24,49.7,6.0,86.07843137254902,8.166666666666666,34.0,20.0,50.0,Loss
1.58,42.4,4.0,82.54310344827587,11.829787234042554,40.0,7.0,0.0,Win
0.55,57.6,0.0,88.11410459587957,9.820512820512821,37.0,2.0,0.0,Loss
0.99,49.8,2.0,81.29032258064515,8.0,30.0,16.0,50.0,Draw
1.91,50.2,1.0,78.46481876332622,8.790697674418604,31.0,12.0,50.0,Draw
3.96,28.0,5.0,69.25,11.525,56.0,24.0,50.0,Draw
6.93,72.0,16.0,89.42774005819592,6.925,29.0,11.0,50.0,Draw
0.22,42.8,1.0,83.65180467091295,14.64864864864865,30.0,7.0,50.0,Win
1.21,57.2,5.0,86.03174603174604,8.382978723404255,29.0,18.0,50.0,Loss
0.84,51.5,0.0,73.4090909090909,4.602941176470588,50.0,18.0,50.0,Loss
1.27,48.5,5.0,75.42168674698794,5.666666666666667,51.0,6.0,50.0,Win
1.52,51.6,7.0,86.78977272727273,9.327586206896552,38.0,20.0,50.0,Win
1.04,48.4,3.0,81.96969696969697,8.36986301369863,48.0,25.0,50.0,Loss
0.91,46.4,5.0,83.21167883211679,15.727272727272727,29.0,15.0,0.0,Loss
1.34,53.6,5.0,87.37373737373737,11.176470588235293,37.0,14.0,0.0,Win
0.6,47.5,1.0,81.66666666666667,8.042553191489361,36.0,11.0,50.0,Loss
2.16,52.5,9.0,81.29032258064515,10.393939393939394,23.0,10.0,50.0,Win
1.8,46.9,3.0,81.95020746887967,13.5,27.0,9.0,50.0,Loss
1.14,53.1,4.0,89.01098901098901,9.404761904761905,34.0,8.0,50.0,Win
0.34,48.1,2.0,90.0,15.5,25.0,13.0,50.0,Loss
1.22,51.9,6.0,90.89506172839506,15.882352941176471,15.0,19.0,50.0,Win
4.32,31.0,10.0,75.52941176470588,18.931818181818183,27.0,17.0,0.0,Draw
4.54,69.0,7.0,88.05496828752642,6.294117647058823,28.0,23.0,0.0,Draw
2.79,34.1,6.0,81.12033195020747,15.903846153846153,32.0,20.0,0.0,Loss
2.78,65.9,11.0,88.9247311827957,7.979591836734694,40.0,9.0,0.0,Win
0.47,35.1,3.0,79.40379403794037,13.444444444444445,32.0,13.0,0.0,Draw
1.69,64.9,5.0,88.83994126284875,10.464285714285714,19.0,9.0,0.0,Draw
6.0,65.6,9.0,88.24858757062147,5.661290322580645,45.0,17.0,0.0,Draw
4.34,34.4,6.0,75.48387096774194,12.015384615384615,47.0,18.0,0.0,Draw
1.09,34.8,2.0,68.16608996539793,7.0476190476190474,49.0,14.0,50.0,Loss
2.33,65.2,9.0,81.91881918819189,4.690476190476191,37.0,5.0,50.0,Win
1.67,69.7,8.0,91.25596184419715,7.814814814814815,22.0,5.0,0.0,Win
0.24,30.3,1.0,77.00729927007299,15.105263157894736,27.0,11.0,0.0,Loss
1.94,42.6,3.0,84.38914027149322,20.576923076923077,21.0,5.0,0.0,Loss
2.13,57.4,8.0,89.76510067114094,12.03225806451613,20.0,11.0,0.0,Win
1.31,61.9,5.0,83.54203935599284,5.446808510638298,39.0,8.0,0.0,Loss
2.87,38.1,7.0,74.4186046511628,8.49090909090909,40.0,15.0,0.0,Win
1.71,49.6,3.0,85.74007220216606,12.710526315789474,23.0,15.0,0.0,Win
0.33,50.4,1.0,85.79040852575488,13.194444444444445,24.0,12.0,0.0,Loss
2.61,75.7,6.0,87.26790450928382,3.5609756097560976,30.0,11.0,0.0,Draw
0.55,24.3,3.0,60.33057851239669,9.676470588235293,48.0,20.0,0.0,Draw
1.44,63.3,6.0,82.64462809917356,5.056603773584905,42.0,11.0,50.0,Win
0.84,36.7,2.0,76.35327635327636,8.928571428571429,43.0,13.0,50.0,Loss
0.15,36.8,0.0,78.71794871794872,10.303571428571429,27.0,29.0,0.0,Loss
1.59,63.2,8.0,86.24813153961136,7.309523809523809,24.0,18.0,0.0,Win
1.16,56.1,5.0,77.36220472440945,5.685185185185185,41.0,13.0,50.0,Loss
1.21,43.9,7.0,77.1356783919598,6.894736842105263,36.0,21.0,50.0,Win
0.74,41.5,2.0,82.00455580865604,10.979166666666666,24.0,24.0,0.0,Loss
3.22,58.5,8.0,85.1373182552504,8.372093023255815,28.0,15.0,0.0,Win
1.16,46.0,4.0,82.98319327731093,11.463414634146341,31.0,10.0,50.0,Win
1.06,54.0,3.0,84.22939068100358,9.186046511627907,37.0,6.0,50.0,Loss
2.1,75.4,7.0,89.14431673052363,4.021739130434782,28.0,18.0,50.0,Draw
0.74,24.6,4.0,72.54901960784314,13.686274509803921,36.0,15.0,50.0,Draw
0.78,65.5,7.0,88.52459016393442,7.333333333333333,24.0,12.0,50.0,Win
1.11,34.5,3.0,74.78753541076487,12.375,31.0,17.0,50.0,Loss
0.39,43.7,1.0,77.67441860465117,9.058823529411764,32.0,19.0,50.0,Loss
0.64,56.3,2.0,83.39350180505414,7.4222222222222225,21.0,24.0,50.0,Win
0.24,39.2,1.0,82.3913043478261,13.891304347826088,37.0,9.0,0.0,Loss
1.14,60.8,8.0,89.49579831932773,9.717948717948717,28.0,11.0,0.0,Win
0.41,49.6,1.0,80.56112224448898,8.933333333333334,25.0,20.0,0.0,Loss
1.49,50.4,4.0,79.28994082840237,11.823529411764707,25.0,9.0,0.0,Win
0.97,40.8,1.0,81.32387706855792,7.514705882352941,49.0,19.0,50.0,Loss
1.26,59.2,3.0,83.08943089430895,7.818181818181818,37.0,7.0,50.0,Win
0.85,60.2,2.0,88.44827586206897,7.923076923076923,35.0,4.0,0.0,Draw
0.74,39.8,1.0,80.67885117493474,9.160714285714286,37.0,19.0,0.0,Draw
1.62,46.3,6.0,84.20038535645472,8.913793103448276,33.0,25.0,0.0,Loss
1.05,53.7,4.0,85.88039867109634,10.925,29.0,11.0,0.0,Win
0.71,49.3,3.0,83.19148936170212,9.418604651162791,21.0,22.0,0.0,Win
0.34,50.7,1.0,83.85093167701864,10.86111111111111,21.0,15.0,0.0,Loss
3.05,58.5,10.0,86.73469387755102,9.142857142857142,32.0,17.0,0.0,Win
0.38,41.5,3.0,80.43087971274686,11.147540983606557,50.0,11.0,0.0,Loss
1.43,61.1,7.0,88.79432624113474,13.107142857142858,21.0,7.0,0.0,Win
0.59,38.9,5.0,81.73719376391982,12.775510204081632,34.0,15.0,0.0,Loss
6.56,54.4,14.0,85.84070796460178,9.52,41.0,9.0,50.0,Draw
5.77,45.6,10.0,83.80281690140845,7.972602739726027,46.0,27.0,50.0,Draw
3.34,48.0,3.0,81.0,11.789473684210526,31.0,7.0,50.0,Win
0.4,52.0,1.0,82.65682656826569,9.204545454545455,31.0,13.0,50.0,Loss
1.39,57.7,4.0,83.22033898305085,9.205128205128204,29.0,10.0,0.0,Loss
0.35,42.3,2.0,83.10185185185185,8.927272727272728,32.0,23.0,0.0,Win
1.93,84.5,5.0,88.90063424947145,3.6153846153846154,23.0,3.0,50.0,Draw
0.82,15.5,0.0,54.33526011560693,14.254237288135593,25.0,34.0,50.0,Draw
1.73,56.6,5.0,76.73956262425448,3.9705882352941178,45.0,23.0,0.0,Loss
0.81,43.4,7.0,69.94818652849742,4.650602409638554,55.0,28.0,0.0,Win
0.45,38.7,2.0,80.99352051835854,11.709090909090909,33.0,22.0,0.0,Win
0.83,61.3,1.0,87.8581173260573,8.928571428571429,29.0,13.0,0.0,Loss
0.2,31.2,3.0,74.69135802469135,11.830188679245284,34.0,19.0,50.0,Loss
2.68,68.8,7.0,87.9382889200561,4.245614035087719,43.0,14.0,50.0,Win
1.95,68.8,6.0,83.6283185840708,5.394736842105263,27.0,11.0,0.0,Loss
0.29,31.2,1.0,66.77524429967427,9.14516129032258,46.0,16.0,0.0,Win
0.09,34.4,0.0,79.61956521739131,15.023809523809524,28.0,14.0,0.0,Loss
3.22,65.6,10.0,89.88603988603988,10.464285714285714,18.0,10.0,0.0,Win
1.04,33.3,4.0,58.63309352517986,7.589285714285714,48.0,8.0,0.0,Win
1.66,66.7,8.0,76.30161579892281,2.8596491228070176,48.0,9.0,0.0,Loss
1.39,65.5,4.0,88.46657929226737,7.684210526315789,23.0,15.0,0.0,Win
0.26,34.5,1.0,72.81795511221945,11.842105263157896,43.0,14.0,0.0,Loss
0.58,36.9,2.0,78.11550151975683,14.90625,24.0,8.0,0.0,Draw
1.56,63.1,4.0,84.7246891651865,5.354166666666667,38.0,10.0,0.0,Draw
0.31,49.9,3.0,80.71748878923766,7.829787234042553,36.0,11.0,50.0,Draw
1.5,50.1,7.0,82.14285714285714,9.473684210526315,31.0,7.0,50.0,Draw
0.67,47.3,1.0,79.59183673469387,11.483870967741936,22.0,9.0,50.0,Loss
1.71,52.7,3.0,81.65137614678899,7.8,30.0,10.0,50.0,Win
2.32,60.1,10.0,84.18079096045197,5.549019607843137,45.0,6.0,50.0,Win
0.05,39.9,1.0,80.16997167138811,7.706896551724138,45.0,13.0,50.0,Loss
0.68,36.6,4.0,67.08074534161491,7.566666666666666,51.0,9.0,50.0,Draw
1.02,63.4,1.0,81.50807899461401,5.142857142857143,36.0,6.0,50.0,Draw
2.37,45.5,3.0,76.19047619047619,6.409090909090909,37.0,7.0,50.0,Win
0.93,54.5,4.0,74.80106100795756,5.714285714285714,35.0,7.0,50.0,Loss
0.13,39.8,3.0,77.86259541984732,13.710526315789474,30.0,8.0,50.0,Loss
2.78,60.2,9.0,87.56302521008404,7.65,28.0,12.0,50.0,Win
0.62,65.8,3.0,82.174688057041,3.452830188679245,45.0,8.0,50.0,Win
0.83,34.2,3.0,62.88659793814433,10.976190476190476,32.0,10.0,50.0,Loss
2.4,59.8,8.0,82.09982788296041,8.162162162162161,31.0,6.0,50.0,Win
0.15,40.2,3.0,77.23785166240408,14.029411764705882,24.0,10.0,50.0,Loss
2.11,72.7,7.0,89.05547226386807,4.2926829268292686,35.0,6.0,50.0,Win
0.17,27.3,2.0,70.39999999999999,16.054054054054053,28.0,9.0,50.0,Loss
1.14,60.1,9.0,80.70796460176992,5.782608695652174,35.0,11.0,50.0,Win
0.51,39.9,4.0,70.93333333333334,8.290909090909091,45.0,10.0,50.0,Loss
1.14,40.4,3.0,72.42339832869081,8.46,39.0,11.0,50.0,Win
2.38,59.6,5.0,79.81132075471699,5.3061224489795915,42.0,7.0,50.0,Loss
0.94,58.7,5.0,78.63436123348018,5.0,39.0,5.0,50.0,Draw
0.31,41.3,3.0,68.96551724137932,5.758064516129032,55.0,7.0,50.0,Draw
0.47,51.6,2.0,72.3404255319149,7.90625,29.0,3.0,50.0,Loss
1.27,48.4,5.0,71.875,6.325581395348837,32.0,11.0,50.0,Win
0.69,45.8,6.0,82.70142180094787,7.962962962962963,39.0,15.0,50.0,Loss
3.75,54.2,7.0,86.0,9.432432432432432,29.0,8.0,50.0,Win
0.74,35.1,4.0,67.78523489932886,7.964912280701754,47.0,10.0,50.0,Loss
1.59,64.9,5.0,82.54545454545455,5.17948717948718,32.0,7.0,50.0,Win
0.58,50.1,4.0,70.6896551724138,6.326530612244898,37.0,12.0,50.0,Loss
0.91,49.9,2.0,76.5432098765432,7.552631578947368,36.0,2.0,50.0,Win
1.62,74.1,4.0,88.23529411764706,4.658536585365853,32.0,9.0,50.0,Draw
0.04,25.9,0.0,72.90076335877863,18.333333333333332,28.0,8.0,50.0,Draw
0.27,34.8,2.0,66.77631578947368,11.186046511627907,33.0,10.0,50.0,Win
1.44,65.2,6.0,84.53427065026362,4.951219512195122,27.0,14.0,50.0,Loss
2.18,52.7,5.0,81.06796116504854,8.794117647058824,30.0,4.0,50.0,Win
0.61,47.3,3.0,80.8108108108108,9.027027027027026,28.0,9.0,50.0,Loss
1.08,44.9,5.0,81.19180633147114,12.355555555555556,36.0,9.0,50.0,Win
0.97,55.1,5.0,84.24242424242424,7.147540983606557,49.0,12.0,50.0,Loss
6.21,51.0,10.0,71.76781002638522,5.808510638297872,33.0,14.0,50.0,Draw
4.65,49.0,9.0,75.0,8.242424242424242,24.0,9.0,50.0,Draw
0.75,60.2,3.0,81.83807439824945,4.604166666666667,39.0,9.0,50.0,Loss
1.17,39.8,3.0,73.17880794701986,9.121951219512194,34.0,7.0,50.0,Win
1.75,51.5,3.0,85.37549407114624,16.44,19.0,6.0,50.0,Win
0.72,48.5,2.0,86.16352201257862,14.89655172413793,18.0,11.0,50.0,Loss
4.55,39.8,6.0,70.92198581560284,7.104166666666667,40.0,8.0,50.0,Draw
3.81,60.2,7.0,80.04694835680752,4.25531914893617,35.0,12.0,50.0,Draw
1.36,54.3,7.0,80.35714285714286,7.944444444444445,26.0,10.0,50.0,Win
0.54,45.7,3.0,75.86206896551724,8.372093023255815,36.0,7.0,50.0,Loss
5.62,55.3,8.0,72.68907563025209,4.492063492063492,52.0,11.0,50.0,Draw
6.05,44.7,10.0,73.69791666666666,5.766666666666667,54.0,6.0,50.0,Draw
4.78,50.6,7.0,80.54862842892769,7.3023255813953485,35.0,8.0,50.0,Draw
4.52,49.4,7.0,80.10204081632652,9.787878787878787,26.0,7.0,50.0,Draw
0.7,56.5,3.0,79.49260042283298,6.425,30.0,10.0,50.0,Draw
0.45,43.5,4.0,70.6043956043956,7.230769230769231,45.0,7.0,50.0,Draw
2.9,62.8,5.0,87.45583038869258,8.03125,27.0,5.0,50.0,Win
0.17,37.2,0.0,76.71641791044776,11.511627906976743,41.0,2.0,50.0,Loss
0.73,72.8,4.0,83.7248322147651,5.541666666666667,22.0,2.0,60.0,Win
0.91,27.2,2.0,59.64125560538116,11.604651162790697,34.0,9.0,40.0,Loss
0.79,51.2,3.0,82.21757322175732,8.714285714285714,33.0,9.0,50.0,Loss
1.34,48.8,6.0,80.43956043956044,9.357142857142858,30.0,12.0,50.0,Win
3.54,64.9,8.0,90.1840490797546,11.153846153846153,16.0,10.0,40.0,Win
0.98,35.1,2.0,82.15297450424929,15.473684210526315,29.0,9.0,60.0,Loss
